廠商\政黨,中國國民黨,民主進步黨,時代力量,無黨及其他
三益事業有限公司,0.0,300000.0,0.0,0.0
三省工業有限公司,0.0,0.0,0.0,0.0
三福冷凍食品股份有限公司,0.0,0.0,0.0,0.0
三禾倉儲股份有限公司,0.0,200000.0,0.0,0.0
三禾發股份有限公司,0.0,0.0,0.0,0.0
三禾貨櫃屋,0.0,0.0,0.0,0.0
三竹資訊股份有限公司,0.0,0.0,0.0,0.0
三緯塑膠實業有限公司,0.0,0.0,0.0,0.0
三義投資股份有限公司,0.0,0.0,0.0,0.0
三義鋼鐵股份有限公司,0.0,10000.0,0.0,0.0
三羽建材股份有限公司,0.0,0.0,0.0,0.0
三能股份有限公司,0.0,0.0,0.0,0.0
三興資訊(股)公司,0.0,0.0,0.0,0.0
三興資訊股份有限公司,500000.0,0.0,0.0,0.0
三興鳥園有限公司,0.0,0.0,0.0,0.0
三花工業社,0.0,150000.0,0.0,0.0
三芳印刷企業有限公司,0.0,0.0,0.0,0.0
三芳紙業有限公司,50000.0,0.0,0.0,0.0
三英鋼鐵股份有限公司,0.0,0.0,0.0,0.0
三華鋼鐵有限公司,0.0,2000.0,0.0,0.0
三葛工業股份有限公司,0.0,0.0,0.0,0.0
三趨科技股份有限公司,0.0,0.0,0.0,0.0
三通網資訊股份有限公司,0.0,0.0,0.0,0.0
三通網通訊股份有限公司,0.0,0.0,0.0,0.0
三重客運,0.0,0.0,0.0,0.0
三重汽車客運股份有限公司,0.0,0.0,0.0,0.0
三鎰水電工程有限公司,0.0,0.0,0.0,30000.0
三鎰水電工程股份有限公司,0.0,0.0,0.0,0.0
三門科技股份有限公司,915000.0,0.0,0.0,0.0
三開開發有限公司,10000.0,0.0,0.0,0.0
三陽造船廠股份有限公司,0.0,0.0,0.0,0.0
三陽造船股份有限公司,0.0,0.0,0.0,0.0
三雋建設股份有限公司,0.0,0.0,0.0,0.0
三雋營造有限公司,0.0,0.0,0.0,0.0
三順房屋仲介股份有限公司,0.0,10000.0,0.0,0.0
三順製衣股份有限公司,0.0,0.0,0.0,0.0
三鮮企業有限公司,0.0,0.0,0.0,0.0
三麥機械股份有限公司,0.0,10000.0,0.0,0.0
三點水文化創意有限公司,0.0,3000.0,0.0,0.0
三龍產業(股)公司,0.0,0.0,0.0,0.0
三龍產業股份有限公司,0.0,0.0,0.0,0.0
上乙環保企業有限公司,0.0,0.0,0.0,0.0
上亞能源股份有限公司,0.0,100000.0,0.0,0.0
上享實業有限公司,0.0,10000.0,0.0,0.0
上倫染整有限公司,0.0,0.0,0.0,0.0
上億工程行,0.0,0.0,0.0,0.0
上億投資股份有限公司,700000.0,0.0,0.0,0.0
上允創作料理有限公司,0.0,0.0,0.0,0.0
上力堆高機公司,0.0,0.0,0.0,0.0
上勝建設企業有限公司,0.0,500000.0,0.0,0.0
上十慶電器,0.0,0.0,0.0,0.0
上合工程興業股份有限公司,0.0,0.0,0.0,0.0
上啟源環保科技股份有限公司,300000.0,0.0,0.0,0.0
上善投資股份有限公司,0.0,0.0,0.0,0.0
上喆蜂蜜有限公司,100000.0,0.0,0.0,0.0
上圓貿易有限公司,0.0,0.0,0.0,0.0
上城食品有限公司,0.0,0.0,0.0,0.0
上好五金有限公司,0.0,0.0,0.0,0.0
上宏汽車有限公司,0.0,0.0,0.0,0.0
上將環保服務有限公司,0.0,0.0,0.0,0.0
上展國際實業有限公司,0.0,100000.0,0.0,0.0
上展金屬工業股份有限公司,0.0,0.0,0.0,0.0
上層企業股份有限公司,0.0,0.0,0.0,0.0
上峰塑膠工業股份有限公司,0.0,36000.0,0.0,0.0
上揚國際實業有限公司,0.0,500000.0,0.0,0.0
上昇皮料行,0.0,10000.0,0.0,0.0
上暘環保科技(股)公司,0.0,0.0,0.0,0.0
上木有限公司,0.0,30000.0,0.0,0.0
上正汽車修配廠,0.0,30000.0,0.0,0.0
上毅興業股份有限公司,0.0,200000.0,0.0,0.0
上泉混凝土有限公司,0.0,0.0,0.0,0.0
上泉混凝土股份有限公司,0.0,150000.0,0.0,0.0
上洋產業股份有限公司,0.0,0.0,0.0,0.0
上海敦煌音樂藝術中心,0.0,0.0,0.0,0.0
上海正義生命服務有限公司,0.0,20000.0,0.0,0.0
上湧實業股份有限公司,0.0,0.0,0.0,0.0
上濠企業股份有限公司,20000.0,0.0,0.0,0.0
上濱空調興業股份有限公司,0.0,0.0,0.0,0.0
上濱蔬果社,0.0,0.0,0.0,0.0
上猛起重機械企業社,0.0,0.0,0.0,0.0
上玄商行,0.0,0.0,0.0,0.0
上玄橡膠股份有限公司,0.0,100000.0,0.0,0.0
上瑟企業有限公司,0.0,0.0,0.0,0.0
上益工程行,0.0,0.0,0.0,0.0
上益木業有限公司,0.0,66000.0,0.0,0.0
上益營造有限公司,0.0,300000.0,0.0,0.0
上磊開發有限公司,0.0,0.0,0.0,0.0
上禾信股份有限公司,0.0,0.0,0.0,0.0
上禾景觀設計有限公司,0.0,0.0,0.0,0.0
上稻股份有限公司,0.0,0.0,0.0,0.0
上絢企業有限公司,0.0,0.0,0.0,0.0
上緯企業股份有限公司,1000000.0,0.0,0.0,0.0
上育環保工程有限公司,0.0,0.0,0.0,0.0
上能企業有限公司,0.0,0.0,0.0,0.0
上興工程行,0.0,0.0,0.0,36000.0
上記營造有限公司,0.0,0.0,0.0,0.0
上評科技實業股份有限公司,0.0,0.0,0.0,0.0
